,Team_x,G,Team_y,adj_elo,PFpg,PApg,CompPCT_Off,PassYardspg,RushYardspg,OffSackspg,TurnoverMargin,CompPCT_Def,PassYardspg_Def,RushYardspg_Def,DefSackspg
0,Buffalo Bills,15,Bills,1638,28.466666666666665,17.6,0.6500857632933105,260.8,120.4,1.7333333333333334,1.5263157894736843,0.5687885010266941,173.13333333333333,114.8,1.8666666666666667
1,Dallas Cowboys,15,Cowboys,1611,30.466666666666665,20.466666666666665,0.6844827586206896,282.6666666666667,126.86666666666666,2.066666666666667,1.736842105263158,0.588126159554731,240.73333333333332,109.46666666666667,2.466666666666667
2,New England Patriots,15,Patriots,1580,25.866666666666667,17.333333333333332,0.6772823779193206,221.46666666666667,122.4,1.7333333333333334,1.35,0.5869120654396728,193.66666666666666,121.86666666666666,2.2
3,Philadelphia Eagles,15,Eagles,1523,26.533333333333335,21.2,0.6221198156682027,201.73333333333332,163.2,1.8,1.0,0.6857142857142857,215.6,104.6,1.6666666666666667
4,Miami Dolphins,15,Dolphins,1563,20.333333333333332,21.0,0.6696750902527075,224.4,86.6,2.3333333333333335,0.9583333333333334,0.6071428571428571,234.4,102.33333333333333,3.0
5,Washington Football Team,15,Washington,1430,19.8,27.133333333333333,0.6451612903225806,208.26666666666668,116.06666666666666,2.466666666666667,0.6956521739130435,0.6814814814814815,269.2,104.2,2.2666666666666666
6,New York Jets,15,Jets,1293,18.4,29.933333333333334,0.6018181818181818,220.8,97.93333333333334,2.8666666666666667,0.5,0.6965376782077393,250.0,141.26666666666668,2.1333333333333333
7,New York Giants,15,Giants,1383,16.533333333333335,24.333333333333332,0.6025408348457351,207.93333333333334,95.53333333333333,2.066666666666667,0.8695652173913043,0.6732495511669659,238.53333333333333,125.33333333333333,1.9333333333333333
8,Cincinnati Bengals,15,Bengals,1543,27.333333333333332,21.6,0.6975308641975309,259.0,106.86666666666666,3.1333333333333333,0.9047619047619048,0.6649029982363316,252.8,92.13333333333334,2.7333333333333334
9,Green Bay Packers,15,Packers,1671,25.533333333333335,21.6,0.6724806201550387,250.13333333333333,106.93333333333334,1.9333333333333333,2.6,0.6259398496240601,216.0,115.26666666666667,2.4
10,Baltimore Ravens,15,Ravens,1407,23.666666666666668,23.733333333333334,0.6581352833638026,244.46666666666667,137.66666666666666,3.2666666666666666,0.5238095238095238,0.6291512915129152,280.46666666666664,85.6,2.1333333333333333
11,Minnesota Vikings,15,Vikings,1367,25.6,24.8,0.6629834254143646,255.46666666666667,119.93333333333334,1.6666666666666667,1.6923076923076923,0.628731343283582,248.46666666666667,130.53333333333333,2.933333333333333
12,Pittsburgh Steelers,15,Steelers,1455,20.066666666666666,24.733333333333334,0.6463414634146342,228.93333333333334,87.6,2.3333333333333335,0.9444444444444444,0.6551724137931034,225.66666666666666,142.73333333333332,2.8666666666666667
13,Chicago Bears,15,Bears,1401,17.666666666666668,24.866666666666667,0.6135371179039302,185.26666666666668,122.73333333333333,3.2666666666666666,0.48,0.6666666666666666,202.4,124.13333333333334,2.8
14,Cleveland Browns,15,Browns,1490,20.933333333333334,21.933333333333334,0.6266375545851528,200.66666666666666,144.86666666666667,2.6,1.0,0.654690618762475,215.13333333333333,105.86666666666666,2.466666666666667
15,Detroit Lions,15,Lions,1191,17.266666666666666,25.733333333333334,0.6717557251908397,202.06666666666666,112.8,2.3333333333333335,0.8,0.65625,244.8,127.26666666666667,1.6666666666666667
16,Tennessee Titans,15,Titans,1538,23.8,21.733333333333334,0.6659793814432989,201.8,138.8,3.0,0.8,0.6366906474820144,246.53333333333333,86.66666666666667,2.466666666666667
17,Tampa Bay Buccaneers,15,Buccaneers,1633,29.466666666666665,20.8,0.6682242990654206,300.0,101.66666666666667,1.4,1.4444444444444444,0.6572847682119205,242.06666666666666,87.53333333333333,2.933333333333333
18,Indianapolis Colts,15,Colts,1624,28.0,21.066666666666666,0.6258064516129033,205.46666666666667,154.93333333333334,1.6666666666666667,1.8235294117647058,0.6435272045028143,234.8,111.2,2.0
19,Atlanta Falcons,15,Falcons,1405,18.533333333333335,26.666666666666668,0.6653771760154739,223.26666666666668,86.2,2.1333333333333333,0.7727272727272727,0.6907020872865275,244.0,120.93333333333334,1.0666666666666667
20,Houston Texans,15,Texans,1355,16.533333333333335,26.733333333333334,0.6444906444906445,192.0,84.8,2.6,1.1428571428571428,0.659877800407332,239.66666666666666,141.26666666666668,2.0
21,New Orleans Saints,15,Saints,1500,21.066666666666666,20.333333333333332,0.5752212389380531,187.0,114.86666666666666,2.2666666666666666,1.1111111111111112,0.6228893058161351,235.73333333333332,95.93333333333334,2.4
22,Jacksonville Jaguars,15,Jaguars,1216,14.466666666666667,26.4,0.5889908256880734,203.06666666666666,104.93333333333334,1.9333333333333333,0.2692307692307692,0.6979166666666666,229.73333333333332,123.46666666666667,1.7333333333333334
23,Carolina Panthers,15,Panthers,1353,18.466666666666665,23.0,0.569811320754717,196.13333333333333,109.6,2.8666666666666667,0.64,0.6495535714285714,182.33333333333334,118.46666666666667,2.4
24,Kansas City Chiefs,15,Chiefs,1691,28.066666666666666,20.4,0.662751677852349,285.1333333333333,111.0,1.8,1.12,0.6568807339449542,245.66666666666666,116.53333333333333,1.7333333333333334
25,Los Angeles Rams,15,Rams,1612,27.733333333333334,21.733333333333334,0.6648148148148149,276.06666666666666,103.06666666666666,1.6666666666666667,1.1666666666666667,0.6642857142857143,242.2,96.93333333333334,2.8
26,Los Angeles Chargers,15,Chargers,1513,27.2,27.4,0.6683937823834197,280.53333333333336,109.66666666666667,1.8666666666666667,1.0,0.6417004048582996,223.53333333333333,140.26666666666668,2.066666666666667
27,Arizona Cardinals,15,Cardinals,1532,26.266666666666666,20.4,0.7017543859649122,254.46666666666667,122.06666666666666,2.2,1.7142857142857142,0.6592741935483871,210.66666666666666,113.66666666666667,2.6
28,Las Vegas Raiders,15,Raiders,1448,21.066666666666666,25.8,0.6869409660107334,276.93333333333334,90.53333333333333,2.3333333333333335,0.5909090909090909,0.6796116504854369,219.6,115.73333333333333,2.066666666666667
29,San Francisco 49ers,15,49ers,1524,25.133333333333333,22.266666666666666,0.6615720524017468,244.4,123.73333333333333,1.9333333333333333,0.8095238095238095,0.6860706860706861,211.53333333333333,107.33333333333333,2.6666666666666665
30,Denver Broncos,15,Broncos,1453,19.866666666666667,17.333333333333332,0.6598360655737705,212.26666666666668,116.73333333333333,2.533333333333333,1.1875,0.5995893223819302,210.66666666666666,110.2,2.3333333333333335
