,Away,Home,Spread,Favorite,GameTime,fav_team,und_team,fav_spread
0,Carolina,Buffalo,-14,Home,12/19 10:00 AM,Buffalo,Carolina,Buffalo -14
1,N.Y. Jets,Miami,-10,Home,12/19 10:00 AM,Miami,N.Y. Jets,Miami -10
2,Dallas,N.Y. Giants,-11,Away,12/19 10:00 AM,Dallas,N.Y. Giants,Dallas -11
3,Green Bay,Baltimore,-8.5,Away,12/19 01:25 PM,Green Bay,Baltimore,Green Bay -8.5
4,Tennessee,Pittsburgh,PK,Home,12/19 10:00 AM,Pittsburgh,Tennessee,Pittsburgh PK
5,Houston,Jacksonville,-6,Home,12/19 10:00 AM,Jacksonville,Houston,Jacksonville -6
6,Arizona,Detroit,-12,Away,12/19 10:00 AM,Arizona,Detroit,Arizona -12
7,Atlanta,San Francisco,-8.5,Home,12/19 01:05 PM,San Francisco,Atlanta,San Francisco -8.5
8,Cincinnati,Denver,-3,Home,12/19 01:05 PM,Denver,Cincinnati,Denver -3
9,New Orleans,Tampa Bay,-11,Home,12/19 05:20 PM,Tampa Bay,New Orleans,Tampa Bay -11
10,Minnesota,Chicago,-6,Away,12/20 05:15 PM,Minnesota,Chicago,Minnesota -6
11,Las Vegas,Cleveland,-3,Home,12/20 02:00 PM,Cleveland,Las Vegas,Cleveland -3
12,Seattle,L.A. Rams,-6.5,Home,12/21 04:00 PM,L.A. Rams,Seattle,L.A. Rams -6.5
13,Washington,Philadelphia,-6.5,Home,12/21 04:00 PM,Philadelphia,Washington,Philadelphia -6.5
